sampleID	Occurence_Microstates_A	Occurence_Microstates_B	Occurence_Microstates_C	Occurence_Microstates_D	Occurence_Microstates_E	Occurence_Microstates_F	Occurence_Microstates_G	Duration_Microstates_A	Duration_Microstates_B	Duration_Microstates_C	Duration_Microstates_D	Duration_Microstates_E	Duration_Microstates_F	Duration_Microstates_G
LCC2012_0	1.693548387	1.693548387	2.290322581	1.564516129	2.193548387	2.096774194	1.516129032	84.91428571	78.7047619	77.4084507	76.86597938	79.47058824	73.72307692	63.61702128
LCC2012_52	1.942622951	2.204918033	2.040983607	1.114754098	1.795081967	2.409836066	1.672131148	71.52742616	81.07063197	75.91967871	68.97058824	70.15525114	82.91156463	74.58823529
LCC2013_0	1.642857143	2.265306122	2.571428571	1.56122449	1.755102041	1.663265306	1.469387755	83.35403727	83.02702703	83.36507937	74.64052288	71.25581395	67.65644172	72.47222222
LCC2013_52	1.678571429	2.8	2.064285714	1.621428571	1.485714286	1.664285714	1.185714286	74.72340426	92.68367347	83.72318339	83.77092511	72.07692308	73.25321888	65.27710843
LCC2014_0	2.007352941	1.985294118	2.036764706	1.632352941	2.161764706	1.897058824	1.566176471	77.37728938	74.38518519	80.57761733	72.99099099	76.08163265	73.90697674	69.63380282
LCC2014_52	2.135714286	1.95	2.314285714	1.335714286	1.935714286	2.371428571	1.4	78.5819398	70.9010989	76.72839506	69.5828877	74.19926199	77.09638554	69.24489796
LCC2015_0	1.87254902	2.254901961	2.37254902	1.441176471	2.18627451	2.068627451	1.37254902	74.89005236	72.92173913	83.53719008	64.84353741	77.1838565	72.36018957	62.11428571
LCC2016_0	2.489361702	1.574468085	1.957446809	1.414893617	1.946808511	1.595744681	1.276595745	90.8034188	75.97297297	80.93478261	75.60902256	87.36612022	80.05333333	71.36666667
LCC2016_52	2.0	1.988888889	1.788888889	1.444444444	1.688888889	1.866666667	1.422222222	88.44444444	87.46368715	87.8757764	82.61538462	74.44736842	75.5952381	74.375
LCC2018_0	1.962962963	2.314814815	2.685185185	1.601851852	1.953703704	1.731481481	1.574074074	72.50943396	82.624	79.62758621	64.30057803	67.01421801	68.14973262	63.95294118
